enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Quel est ce monument / lieu ?,IMAGE,Le Stade Félix Houphouët-Boigny,"Stade historique du Plateau, dit « le Félicia ».",MOYEN,150,25,Monuments,Le Christ Rédempteur,Le Stade Félix Houphouët-Boigny,La Sagrada Família,La Mosquée de Djenné,img/le-stade-felix-houphouet-boigny.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,"Stade historique du Plateau, dit « le Félicia ».",MOYEN,150,25,Monuments,Mali,Abidjan,Yamoussoukro,Daloa,img/le-stade-felix-houphouet-boigny.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Stade Olympique Alassane Ouattara,Stade de 60 000 places construit pour la CAN 2023.,MOYEN,150,25,Monuments,La Pyramide,Le Stade Olympique Alassane Ouattara,La Place de la République,La Place de l'Indépendance,img/le-stade-olympique-alassane-ouattara.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Ebimpé,Stade de 60 000 places construit pour la CAN 2023.,MOYEN,150,25,Monuments,Abidjan,Abidjan,Ebimpé,Man,img/le-stade-olympique-alassane-ouattara.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Place de la République,Place centrale du Plateau.,DIFFICILE,200,25,Monuments,Le Barrage de Kossou,La Place de la République,La Cathédrale Sacré-Cœur de Daloa,La Gare de Treichville,img/la-place-de-la-republique.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Place centrale du Plateau.,DIFFICILE,200,25,Monuments,Abidjan,Londres,Yamoussoukro,Chine,img/la-place-de-la-republique.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Parc national du Banco,Forêt tropicale primaire en pleine ville.,MOYEN,150,25,Tourisme,Le Parc national du Banco,Le Pont Henri Konan Bédié,La Mosquée Hassan II,Le Stade Félix Houphouët-Boigny,img/le-parc-national-du-banco.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Forêt tropicale primaire en pleine ville.,MOYEN,150,25,Tourisme,Dakar,Rome,Barcelone,Abidjan,img/le-parc-national-du-banco.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Mosquée de la Riviera Golf,Grande mosquée d'Abidjan.,DIFFICILE,200,25,Monuments,Big Ben,Le Stade Olympique Alassane Ouattara,La Fondation Félix Houphouët-Boigny,La Mosquée de la Riviera Golf,img/la-mosquee-de-la-riviera-golf.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Grande mosquée d'Abidjan.,DIFFICILE,200,25,Monuments,Rio de Janeiro,Inde,Abidjan,Égypte,img/la-mosquee-de-la-riviera-golf.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Marché de Cocody,Marché artisanal réputé.,DIFFICILE,200,25,Tourisme,Le Marché de Cocody,Le Mémorial de Gorée,La Cathédrale Sacré-Cœur de Daloa,Le Stade Félix Houphouët-Boigny,img/le-marche-de-cocody.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Marché artisanal réputé.,DIFFICILE,200,25,Tourisme,Abidjan,Ebimpé,Yamoussoukro,Londres,img/le-marche-de-cocody.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Baie de Cocody,Lagune Ébrié réaménagée.,MOYEN,150,25,Tourisme,Les Pyramides de Gizeh,Le Monument de la Renaissance africaine,La Tour F du Plateau,La Baie de Cocody,img/la-baie-de-cocody.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Lagune Ébrié réaménagée.,MOYEN,150,25,Tourisme,New York,Région des Montagnes,Abidjan,Daloa,img/la-baie-de-cocody.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Plateau,Quartier des affaires et du centre-ville.,FACILE,100,25,Tourisme,Le Taj Mahal,La Gare de Treichville,Le Parc national du Banco,Le Plateau,img/le-plateau.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Quartier des affaires et du centre-ville.,MOYEN,150,25,Tourisme,Mali,Yamoussoukro,Abidjan,Ebimpé,img/le-plateau.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Grand-Bassam,"Ancienne capitale coloniale, patrimoine UNESCO.",FACILE,100,25,Tourisme,La Tour Eiffel,Le Mémorial de Gorée,Grand-Bassam,Le Christ Rédempteur,img/grand-bassam.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Grand-Bassam,"Ancienne capitale coloniale, patrimoine UNESCO.",MOYEN,150,25,Tourisme,Abidjan,Sénégal,Yamoussoukro,Grand-Bassam,img/grand-bassam.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Cathédrale Sacré-Cœur de Daloa,Édifice religieux du centre-ouest.,DIFFICILE,200,25,Monuments,Le Marché de Cocody,La Gare de Treichville,La Cathédrale Sacré-Cœur de Daloa,La Place de l'Indépendance,img/la-cathedrale-sacre-c-ur-de-daloa.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Daloa,Édifice religieux du centre-ouest.,DIFFICILE,200,25,Monuments,Kossou,Abidjan,Yamoussoukro,Daloa,img/la-cathedrale-sacre-c-ur-de-daloa.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Mont Nimba,Réserve naturelle UNESCO à la frontière guinéenne.,MOYEN,150,25,Tourisme,La Place de l'Indépendance,Le Mémorial de Gorée,Le Mont Nimba,Le Barrage de Kossou,img/le-mont-nimba.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Région des Montagnes,Réserve naturelle UNESCO à la frontière guinéenne.,MOYEN,150,25,Tourisme,New York,Rio de Janeiro,Abidjan,Région des Montagnes,img/le-mont-nimba.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Dent de Man,Sommet emblématique de la région de Man.,MOYEN,150,25,Tourisme,La Mosquée de Djenné,Le Parc national du Banco,Le Monument de la Renaissance africaine,La Dent de Man,img/la-dent-de-man.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Man,Sommet emblématique de la région de Man.,MOYEN,150,25,Tourisme,Abidjan,Abidjan,Yamoussoukro,Man,img/la-dent-de-man.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Pont de la liane à Man,Ponts de lianes traditionnels.,DIFFICILE,200,25,Tourisme,Le Pont de la liane à Man,Le Stade Olympique Alassane Ouattara,La Pyramide,Le Palais présidentiel de Yamoussoukro,img/le-pont-de-la-liane-a-man.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Man,Ponts de lianes traditionnels.,DIFFICILE,200,25,Tourisme,Yamoussoukro,Dakar,Abidjan,Man,img/le-pont-de-la-liane-a-man.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Barrage de Kossou,Grand barrage hydroélectrique sur le Bandama.,DIFFICILE,200,25,Tourisme,La Baie de Cocody,Assinie,Le Palais présidentiel de Yamoussoukro,Le Barrage de Kossou,img/le-barrage-de-kossou.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Kossou,Grand barrage hydroélectrique sur le Bandama.,DIFFICILE,200,25,Tourisme,Kossou,Sénégal,Man,Inde,img/le-barrage-de-kossou.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Palais présidentiel de Yamoussoukro,Résidence officielle bordée de lacs aux caïmans.,DIFFICILE,200,25,Monuments,Le Palais présidentiel de Yamoussoukro,La Dent de Man,Le Colisée,La Place de la République,img/le-palais-presidentiel-de-yamoussoukro.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Yamoussoukro,Résidence officielle bordée de lacs aux caïmans.,DIFFICILE,200,25,Monuments,Daloa,Grand-Bassam,Yamoussoukro,Man,img/le-palais-presidentiel-de-yamoussoukro.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Fondation Félix Houphouët-Boigny,Centre de congrès et institution de la paix.,DIFFICILE,200,25,Monuments,La Gare de Treichville,La Fondation Félix Houphouët-Boigny,Le Palais présidentiel de Yamoussoukro,Le Christ Rédempteur,img/la-fondation-felix-houphouet-boigny.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Yamoussoukro,Centre de congrès et institution de la paix.,DIFFICILE,200,25,Monuments,Yamoussoukro,Abidjan,Abidjan,Rome,img/la-fondation-felix-houphouet-boigny.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Le Musée des Civilisations de Côte d'Ivoire,Musée national au Plateau.,DIFFICILE,200,25,Culture,La Mosquée Hassan II,La Place de la République,Le Musée des Civilisations de Côte d'Ivoire,La Mosquée de la Riviera Golf,img/le-musee-des-civilisations-de-cote-d-ivoire.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Musée national au Plateau.,DIFFICILE,200,25,Culture,Casablanca,Abidjan,Kossou,Barcelone,img/le-musee-des-civilisations-de-cote-d-ivoire.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,La Gare de Treichville,Gare ferroviaire historique.,DIFFICILE,200,25,Tourisme,Le Mont Nimba,Le Colisée,La Gare de Treichville,Le Stade Félix Houphouët-Boigny,img/la-gare-de-treichville.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Abidjan,Gare ferroviaire historique.,DIFFICILE,200,25,Tourisme,Abidjan,Dakar,Londres,Barcelone,img/la-gare-de-treichville.jpg,,,,,
Quel est ce monument / lieu ?,IMAGE,Assinie,Station balnéaire prisée du littoral.,FACILE,100,25,Tourisme,Le Barrage de Kossou,Assinie,Le Parc national du Banco,La Mosquée de Djenné,img/assinie.jpg,,,,,
Dans quelle ville / quel pays se trouve ce lieu ?,IMAGE,Assinie,Station balnéaire prisée du littoral.,MOYEN,150,25,Tourisme,Assinie,Inde,Daloa,Abidjan,img/assinie.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Félix Houphouët-Boigny,Premier président de la Côte d'Ivoire (1960-1993).,FACILE,100,25,Histoire,Félix Houphouët-Boigny,Marie-Josée Ta Lou,Aïcha Koné,Magic System,img/felix-houphouet-boigny.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,Premier président de la Côte d'Ivoire (1960-1993).,FACILE,100,25,Histoire,Musique,Actualité,Histoire,Nature,img/felix-houphouet-boigny.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Henri Konan Bédié,Président de 1993 à 1999.,MOYEN,150,25,Histoire,Henri Konan Bédié,Ahmadou Kourouma,Tidjane Thiam,Henriette Diabaté,img/henri-konan-bedie.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,Président de 1993 à 1999.,FACILE,100,25,Histoire,Histoire,Sport,Nature,Culture,img/henri-konan-bedie.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Laurent Gbagbo,Président de 2000 à 2011.,FACILE,100,25,Histoire,Espoir 2000,Meiway,Laurent Gbagbo,Roseline Layo,img/laurent-gbagbo.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,Président de 2000 à 2011.,FACILE,100,25,Histoire,Histoire,Nature,Culture,Musique,img/laurent-gbagbo.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Alassane Ouattara,"Président depuis 2011, ancien du FMI.",FACILE,100,25,Histoire,Serey Dié,Marie-Josée Ta Lou,Alassane Ouattara,Tiken Jah Fakoly,img/alassane-ouattara.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,"Président depuis 2011, ancien du FMI.",FACILE,100,25,Histoire,Histoire,Sport,Musique,Nature,img/alassane-ouattara.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Didier Drogba,Légende des Éléphants et de Chelsea.,FACILE,100,25,Sport,Bebi Philip,Serge Beynaud,Espoir 2000,Didier Drogba,img/didier-drogba.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Légende des Éléphants et de Chelsea.,FACILE,100,25,Sport,Musique,Histoire,Sport,Nature,img/didier-drogba.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Yaya Touré,"Milieu de terrain, ex-Manchester City et Barcelone.",FACILE,100,25,Sport,Guillaume Soro,Yaya Touré,Monique Séka,Alassane Ouattara,img/yaya-toure.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,"Milieu de terrain, ex-Manchester City et Barcelone.",FACILE,100,25,Sport,Culture,Nature,Actualité,Sport,img/yaya-toure.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Kolo Touré,"Défenseur, frère de Yaya, ex-Arsenal.",MOYEN,150,25,Sport,Aïcha Koné,Kolo Touré,Vetcho Lolas,Gabriel Tiacoh,img/kolo-toure.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,"Défenseur, frère de Yaya, ex-Arsenal.",FACILE,100,25,Sport,Sport,Culture,Actualité,Musique,img/kolo-toure.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Salomon Kalou,Attaquant international ivoirien.,MOYEN,150,25,Sport,Kolo Touré,Salomon Kalou,Henri Konan Bédié,Bernard Dadié,img/salomon-kalou.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Attaquant international ivoirien.,FACILE,100,25,Sport,Nature,Histoire,Sport,Actualité,img/salomon-kalou.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Gervinho,"Ailier des Éléphants, vainqueur CAN 2015.",MOYEN,150,25,Sport,Gervinho,Cheick Cissé,Marie-Josée Ta Lou,Safarel Obiang,img/gervinho.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,"Ailier des Éléphants, vainqueur CAN 2015.",FACILE,100,25,Sport,Culture,Actualité,Sport,Nature,img/gervinho.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Sébastien Haller,Buteur décisif de la CAN 2023.,MOYEN,150,25,Sport,Ariel Sheney,Serge Beynaud,Sébastien Haller,Magic System,img/sebastien-haller.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Buteur décisif de la CAN 2023.,FACILE,100,25,Sport,Histoire,Sport,Musique,Culture,img/sebastien-haller.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Franck Kessié,Milieu vainqueur de la CAN 2023.,MOYEN,150,25,Sport,Didier Drogba,Franck Kessié,Didi B,Gabriel Tiacoh,img/franck-kessie.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Milieu vainqueur de la CAN 2023.,FACILE,100,25,Sport,Sport,Actualité,Histoire,Nature,img/franck-kessie.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Serey Dié,Milieu de terrain international.,DIFFICILE,200,25,Sport,Tidjane Thiam,Kerozen,Serey Dié,DJ Arafat,img/serey-die.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Milieu de terrain international.,FACILE,100,25,Sport,Culture,Sport,Histoire,Musique,img/serey-die.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Emerse Faé,Sélectionneur vainqueur de la CAN 2023.,MOYEN,150,25,Sport,Serge Beynaud,Gabriel Tiacoh,Gervinho,Emerse Faé,img/emerse-fae.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Sélectionneur vainqueur de la CAN 2023.,FACILE,100,25,Sport,Musique,Culture,Sport,Nature,img/emerse-fae.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Wilfried Zaha,Ailier international ivoirien.,MOYEN,150,25,Sport,Josey,Werewere-Liking,Wilfried Zaha,Guillaume Soro,img/wilfried-zaha.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Ailier international ivoirien.,FACILE,100,25,Sport,Sport,Culture,Actualité,Nature,img/wilfried-zaha.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Cheick Cissé,Champion olympique de taekwondo (Rio 2016).,DIFFICILE,200,25,Sport,Emerse Faé,Josey,Sébastien Haller,Cheick Cissé,img/cheick-cisse.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Champion olympique de taekwondo (Rio 2016).,FACILE,100,25,Sport,Culture,Sport,Actualité,Musique,img/cheick-cisse.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Gabriel Tiacoh,Médaillé olympique ivoirien en athlétisme (1984).,DIFFICILE,200,25,Sport,Salomon Kalou,Didi B,Gabriel Tiacoh,Ariel Sheney,img/gabriel-tiacoh.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Médaillé olympique ivoirien en athlétisme (1984).,FACILE,100,25,Sport,Actualité,Nature,Sport,Culture,img/gabriel-tiacoh.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Marie-Josée Ta Lou,Sprinteuse ivoirienne de niveau mondial.,MOYEN,150,25,Sport,Henriette Diabaté,Debordo Leekunfa,Salomon Kalou,Marie-Josée Ta Lou,img/marie-josee-ta-lou.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Sport,Sprinteuse ivoirienne de niveau mondial.,FACILE,100,25,Sport,Histoire,Sport,Culture,Nature,img/marie-josee-ta-lou.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Bernard Dadié,"Écrivain majeur, auteur de « Climbié ».",MOYEN,150,25,Culture,Gervinho,DJ Arafat,Franck Kessié,Bernard Dadié,img/bernard-dadie.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Culture,"Écrivain majeur, auteur de « Climbié ».",FACILE,100,25,Culture,Culture,Sport,Nature,Actualité,img/bernard-dadie.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Ahmadou Kourouma,"Romancier, auteur des « Soleils des indépendances ».",MOYEN,150,25,Culture,Magic System,Bebi Philip,Ahmadou Kourouma,Didi B,img/ahmadou-kourouma.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Culture,"Romancier, auteur des « Soleils des indépendances ».",FACILE,100,25,Culture,Culture,Actualité,Sport,Histoire,img/ahmadou-kourouma.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Henriette Diabaté,Historienne et femme politique.,DIFFICILE,200,25,Histoire,Wilfried Zaha,Henriette Diabaté,Yaya Touré,Bebi Philip,img/henriette-diabate.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,Historienne et femme politique.,FACILE,100,25,Histoire,Culture,Nature,Histoire,Musique,img/henriette-diabate.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Simone Gbagbo,Ancienne Première dame et femme politique.,MOYEN,150,25,Histoire,Simone Gbagbo,Henriette Diabaté,Josey,Bernard Dadié,img/simone-gbagbo.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,Ancienne Première dame et femme politique.,FACILE,100,25,Histoire,Histoire,Sport,Culture,Actualité,img/simone-gbagbo.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Guillaume Soro,Ancien Premier ministre et président de l'Assemblée.,MOYEN,150,25,Histoire,Emerse Faé,Gervinho,Guillaume Soro,Bernard Dadié,img/guillaume-soro.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Histoire,Ancien Premier ministre et président de l'Assemblée.,FACILE,100,25,Histoire,Histoire,Nature,Sport,Actualité,img/guillaume-soro.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Tidjane Thiam,"Financier, ex-PDG de Credit Suisse, président du PDCI.",MOYEN,150,25,Actualité,Tidjane Thiam,Guillaume Soro,Kolo Touré,DJ Arafat,img/tidjane-thiam.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Actualité,"Financier, ex-PDG de Credit Suisse, président du PDCI.",FACILE,100,25,Actualité,Sport,Actualité,Culture,Musique,img/tidjane-thiam.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Werewere-Liking,Artiste et écrivaine panafricaine établie à Abidjan.,DIFFICILE,200,25,Culture,Marie-Josée Ta Lou,Kerozen,Aïcha Koné,Werewere-Liking,img/werewere-liking.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Culture,Artiste et écrivaine panafricaine établie à Abidjan.,FACILE,100,25,Culture,Culture,Histoire,Actualité,Musique,img/werewere-liking.jpg,,,,,
Qui est cette personnalité ?,IMAGE,DJ Arafat,"Roi du coupé-décalé, alias Yôrôbô (1986-2019).",FACILE,100,25,Musique,Ahmadou Kourouma,Guillaume Soro,DJ Arafat,Safarel Obiang,img/dj-arafat.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,"Roi du coupé-décalé, alias Yôrôbô (1986-2019).",FACILE,100,25,Musique,Sport,Musique,Histoire,Culture,img/dj-arafat.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Alpha Blondy,Star du reggae ivoirien.,FACILE,100,25,Musique,Wilfried Zaha,Suspect 95,Sébastien Haller,Alpha Blondy,img/alpha-blondy.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Star du reggae ivoirien.,FACILE,100,25,Musique,Actualité,Sport,Culture,Musique,img/alpha-blondy.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Tiken Jah Fakoly,Chanteur reggae engagé.,FACILE,100,25,Musique,Tiken Jah Fakoly,Yaya Touré,Henriette Diabaté,Bebi Philip,img/tiken-jah-fakoly.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Chanteur reggae engagé.,FACILE,100,25,Musique,Musique,Actualité,Sport,Nature,img/tiken-jah-fakoly.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Magic System,"Groupe zouglou, « Premier Gaou ».",FACILE,100,25,Musique,Magic System,Meiway,Franck Kessié,Monique Séka,img/magic-system.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,"Groupe zouglou, « Premier Gaou ».",FACILE,100,25,Musique,Musique,Culture,Nature,Sport,img/magic-system.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Meiway,Créateur du zoblazo.,MOYEN,150,25,Musique,Espoir 2000,Gabriel Tiacoh,Guillaume Soro,Meiway,img/meiway.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Créateur du zoblazo.,FACILE,100,25,Musique,Actualité,Sport,Musique,Histoire,img/meiway.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Serge Beynaud,Star du coupé-décalé moderne.,MOYEN,150,25,Musique,Yaya Touré,Serge Beynaud,Alpha Blondy,Laurent Gbagbo,img/serge-beynaud.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Star du coupé-décalé moderne.,FACILE,100,25,Musique,Culture,Musique,Histoire,Nature,img/serge-beynaud.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Debordo Leekunfa,Artiste coupé-décalé.,MOYEN,150,25,Musique,Suspect 95,Emerse Faé,Debordo Leekunfa,Bebi Philip,img/debordo-leekunfa.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Artiste coupé-décalé.,FACILE,100,25,Musique,Histoire,Actualité,Culture,Musique,img/debordo-leekunfa.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Bebi Philip,Chanteur et producteur ivoirien.,MOYEN,150,25,Musique,Bebi Philip,Magic System,Aïcha Koné,Espoir 2000,img/bebi-philip.jpg,,,,,
Dans quel domaine cette personne s'est-elle illustrée ?,IMAGE,Musique,Chanteur et producteur ivoirien.,FACILE,100,25,Musique,Nature,Sport,Histoire,Musique,img/bebi-philip.jpg,,,,,
Qui est cette personnalité ?,IMAGE,Josey,Chanteuse ivoirienne populaire.,MOYEN,150,25,Musique,Josey,Henri Konan Bédié,Laurent Gbagbo,Sébastien Haller,img/josey.jpg,,,,,
